C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
1014;    166.86;m13        ;Gaia DR3 1328057665213441536       ;EB*;16 41 27.9036060555 +36 27 20.643155673;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1015;    166.89;m13        ;NGC 6205 104                       ;*  ;16 41 27.8187914040 +36 27 32.161467024;     ~   ;15.41    ;15.40    ;     ~   ;     ~   ;~              ;   2;   0
1016;    167.01;m13        ;NGC 6205 1041                      ;HS?;16 41 55.4378744688 +36 27 53.534321604;     ~   ;15.80    ;15.95    ;     ~   ;     ~   ;~              ;   4;   0
1017;    167.68;m13        ;NGC 6205 1042                      ;*  ;16 41 55.52 +36 27 48.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1018;    167.84;m13        ;NGC 6205 112                       ;*  ;16 41 28.31 +36 26 52.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1019;    168.01;m13        ;NGC 6205 126                       ;*  ;16 41 29.09 +36 26 27.8                ;     ~   ;15.44    ;15.52    ;     ~   ;     ~   ;~              ;   3;   0
1020;    168.05;m13        ;NGC 6205 258                       ;*  ;16 41 34.4567229000 +36 30 04.791775824;     ~   ;14.48    ;13.46    ;     ~   ;     ~   ;G2III          ;   7;   0
1021;    168.23;m13        ;Gaia DR2 1328056939364066176       ;RR*;16 41 41.0187322512 +36 24 52.680493800;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1022;    168.54;m13        ;NGC 6205 154                       ;*  ;16 41 30.62 +36 25 57.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1023;    169.15;m13        ;NGC 6205 814                       ;*  ;16 41 46.2786689016 +36 30 20.357416800;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1024;    169.36;m13        ;[KGS2008] J164127.8+362712         ;RG*;16 41 27.8 +36 27 12                   ;     ~   ;17.39    ;16.77    ;     ~   ;15.96    ;~              ;   1;   0
1025;    169.92;m13        ;NGC 6205 943                       ;*  ;16 41 49.89 +36 25 23.1                ;     ~   ;14.80    ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1026;    169.94;m13        ;NSC J164130+362556                 ;ClG;16 41 30.57 +36 25 55.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1027;    170.00;m13        ;NGC 6205 243                       ;*  ;16 41 34.3463534856 +36 25 15.257137764;     ~   ;14.22    ;13.20    ;     ~   ;     ~   ;~              ;   6;   0
1028;    170.27;m13        ;NGC 6205 1016                      ;RG*;16 41 53.7676226064 +36 26 13.817380128;     ~   ;15.09    ;14.13    ;     ~   ;     ~   ;~              ;   8;   0
1029;    170.28;m13        ;NGC 6205 818                       ;*  ;16 41 46.63 +36 25 01.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1030;    170.93;m13        ;NGC 6205 105                       ;*  ;16 41 27.8512818696 +36 27 01.184359392;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1031;    171.26;m13        ;NGC 6205 1027                      ;HB*;16 41 54.5133258408 +36 26 28.763360124;     ~   ;14.85    ;14.18    ;     ~   ;     ~   ;~              ;  17;   0
1032;    171.62;m13        ;NGC 6205 997                       ;*  ;16 41 52.40 +36 25 48.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1033;    171.65;m13        ;[KGS2008] J164155.6+362708         ;RG*;16 41 55.6 +36 27 08                   ;     ~   ;17.17    ;16.53    ;     ~   ;15.72    ;~              ;   1;   0
1034;    171.83;m13        ;NGC 6205 121                       ;*  ;16 41 28.7116294032 +36 28 53.056098804;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1035;    171.86;m13        ;NGC 6205 1002                      ;*  ;16 41 52.38 +36 29 33.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1036;    171.91;m13        ;NGC 6205 1021                      ;*  ;16 41 54.03 +36 26 16.0                ;     ~   ;15.63    ;14.88    ;     ~   ;     ~   ;~              ;   2;   0
1037;    172.24;m13        ;NGC 6205 240                       ;RG*;16 41 33.9173386656 +36 30 05.682748896;     ~   ;13.71    ;12.34    ;     ~   ;     ~   ;~              ;  43;   0
1038;    172.51;m13        ;NGC 6205 836                       ;*  ;16 41 47.13 +36 25 01.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1039;    172.91;m13        ;NGC 6205 1044                      ;*  ;16 41 55.9133739696 +36 27 25.847527752;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1040;    172.96;m13        ;Cl* NGC 6205 PA 25                 ;*  ;16 41 53.9034606144 +36 29 10.273104132;     ~   ;17.34    ;16.67    ;     ~   ;     ~   ;~              ;   1;   0
1041;    173.22;m13        ;NGC 6205 831                       ;*  ;16 41 46.92 +36 24 59.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1042;    173.22;m13        ;2MASS J16414805+3625059            ;RG*;16 41 48.0438370704 +36 25 05.754044892;     ~   ;15.56    ;14.78    ;     ~   ;     ~   ;~              ;   3;   0
1043;    174.06;m13        ;[KGS2008] J164133.5+362517         ;RG*;16 41 33.5 +36 25 17                   ;     ~   ;17.15    ;16.55    ;     ~   ;15.72    ;~              ;   1;   0
1044;    174.15;m13        ;NGC 6205 131                       ;HS?;16 41 29.3505085200 +36 26 09.312449136;     ~   ;16.09    ;16.19    ;     ~   ;     ~   ;~              ;   4;   0
1045;    174.85;m13        ;NGC 6205 341                       ;*  ;16 41 36.8513610576 +36 30 25.811873856;     ~   ;15.95    ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1046;    174.86;m13        ;NGC 6205 1026                      ;HS?;16 41 54.3227098992 +36 29 05.313738948;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1047;    175.06;m13        ;2MASS J16414933+3625125            ;RG*;16 41 49.3290044232 +36 25 12.350450928;     ~   ;14.58    ;13.72    ;     ~   ;     ~   ;~              ;  16;   0
1048;    175.38;m13        ;NGC 6205 108                       ;*  ;16 41 27.95 +36 28 40.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1049;    175.48;m13        ;NGC 6205 98                        ;*  ;16 41 27.3231156048 +36 28 12.218649024;     ~   ;15.52    ;15.51    ;     ~   ;     ~   ;~              ;   2;   0
1050;    176.05;m13        ;NGC 6205 1040                      ;HS?;16 41 55.4169328224 +36 28 38.649981972;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1051;    176.07;m13        ;NGC 6205 252                       ;RG*;16 41 34.3412115240 +36 30 13.276471320;     ~   ;13.098   ;11.771   ;12.393   ;11.36    ;~              ;  34;   0
1052;    176.17;m13        ;NGC 6205 1023                      ;RG*;16 41 54.1018338672 +36 26 09.077208828;     ~   ;14.11    ;12.99    ;     ~   ;     ~   ;~              ;  17;   0
1053;    176.30;m13        ;NGC 6205 1045                      ;*  ;16 41 56.2350990600 +36 27 48.104671572;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1054;    176.53;m13        ;Cl* NGC 6205 G 827                 ;HS?;16 41 41.5009389600 +36 30 37.275810804;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1055;    176.59;m13        ;NGC 6205 96                        ;RG*;16 41 27.0864680880 +36 28 00.359401188;     ~   ;13.79    ;12.52    ;     ~   ;     ~   ;~              ;  70;   0
1056;    176.89;m13        ;Gaia DR2 1328057665213091968       ;HS?;16 41 28.1841640032 +36 26 30.356347812;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1057;    177.77;m13        ;Gaia DR2 1328057665213409024       ;HS?;16 41 27.1975656816 +36 27 05.143173444;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1058;    178.33;m13        ;NGC 6205 512                       ;RG*;16 41 40.5152191656 +36 24 42.927621300;     ~   ;15.5     ;14.59    ;     ~   ;     ~   ;~              ;  12;   0
1059;    178.46;m13        ;NGC 6205 783                       ;RG*;16 41 45.5732437344 +36 30 32.768095536;     ~   ;14.87    ;13.95    ;     ~   ;     ~   ;~              ;  32;   0
1060;    178.80;m13        ;[KGS2008] J164156.3+362715         ;RG*;16 41 56.3 +36 27 15                   ;     ~   ;16.71    ;16.07    ;     ~   ;15.23    ;~              ;   1;   0
1061;    178.88;m13        ;NGC 6205 1047                      ;HS?;16 41 56.4482288688 +36 27 33.221503008;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1062;    178.97;m13        ;NGC 6205 244                       ;RG*;16 41 34.3634099664 +36 25 04.761614316;     ~   ;13.91    ;12.67    ;12.305   ;     ~   ;~              ;  40;   0
1063;    179.05;m13        ;[SWL2011] X30                      ;X  ;16 41 41.646 +36 24 41.70              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1064;    179.81;m13        ;2MASS J16413862+3630369            ;RG*;16 41 38.6145378912 +36 30 36.829673568;     ~   ;15.17    ;14.31    ;     ~   ;     ~   ;~              ;   7;   0
1065;    180.32;m13        ;[SWL2011] X31                      ;*  ;16 41 50.2945373856 +36 25 13.805206392;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1066;    180.63;m13        ;Gaia DR3 1328056874936055424       ;EB*;16 41 50.5811288182 +36 25 15.940949984;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1067;    180.70;m13        ;NGC 6205 149                       ;*  ;16 41 30.1845971832 +36 29 37.297724496;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1068;    180.92;m13        ;NGC 6205 988                       ;HS?;16 41 51.9328903056 +36 25 29.265927456;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1069;    181.03;m13        ;2MASS J16412972+3625505            ;RG*;16 41 29.728 +36 25 50.60              ;     ~   ;17.13    ;16.51    ;     ~   ;15.67    ;~              ;   2;   0
1070;    181.04;m13        ;NGC 6205 691                       ;RG*;16 41 43.9329733752 +36 24 41.844411684;     ~   ;15.62    ;14.88    ;     ~   ;     ~   ;~              ;  20;   0
1071;    181.07;m13        ;NGC 6205 237                       ;*  ;16 41 33.88 +36 30 15.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1072;    181.25;m13        ;2MASS J16415003+3625105            ;AB*;16 41 50.0214941088 +36 25 10.396554816;     ~   ;14.13    ;13.14    ;     ~   ;     ~   ;~              ;  20;   0
1073;    181.65;m13        ;NGC 6205 158                       ;RG*;16 41 30.5281002456 +36 29 43.440409140;     ~   ;13.89    ;12.70    ;     ~   ;     ~   ;~              ;  44;   0
1074;    182.71;m13        ;2MASS J16412707+3626508            ;RG*;16 41 27.0632182152 +36 26 50.955696960;     ~   ;15.44    ;14.68    ;     ~   ;13.74    ;~              ;   5;   0
1075;    182.91;m13        ;NGC 6205 162                       ;*  ;16 41 30.8916928776 +36 25 31.694946348;     ~   ;15.02    ;14.09    ;     ~   ;     ~   ;~              ;   8;   0
1076;    183.00;m13        ;NGC 6205 111                       ;HS?;16 41 28.2935852040 +36 26 13.691637852;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1077;    183.09;m13        ;NGC 6205 994                       ;*  ;16 41 52.3259806104 +36 25 30.845510760;     ~   ;15.24    ;15.16    ;     ~   ;     ~   ;~              ;   3;   0
1078;    183.21;m13        ;Gaia DR2 1328056565699404032       ;HS?;16 41 38.7988999392 +36 24 40.766674716;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1079;    183.50;m13        ;NGC 6205 1038                      ;*  ;16 41 55.2760530120 +36 29 01.948518924;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1080;    184.06;m13        ;[KGS2008] J164156.6+362705         ;RG*;16 41 56.6 +36 27 05                   ;     ~   ;17.14    ;16.53    ;     ~   ;15.71    ;~              ;   1;   0
1081;    184.52;m13        ;NGC 6205 153                       ;HS?;16 41 30.5464428744 +36 25 33.680312256;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1082;    184.76;m13        ;NGC 6205 97                        ;*  ;16 41 27.2633990544 +36 28 44.670847404;     ~   ;15.54    ;14.90    ;     ~   ;     ~   ;~              ;   4;   0
1083;    185.04;m13        ;NGC 6205 996                       ;*  ;16 41 52.14 +36 29 55.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1084;    185.15;m13        ;NGC 6205 434                       ;HS?;16 41 38.7904345968 +36 30 42.691712832;     ~   ;15.95    ;15.93    ;     ~   ;     ~   ;~              ;   4;   0
1085;    185.17;m13        ;[SWL2011] X32                      ;X  ;16 41 54.727 +36 26 04.15              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1086;    185.42;m13        ;NGC 6205 348                       ;RG*;16 41 37.0626791592 +36 30 37.786828176;     ~   ;15.05    ;14.11    ;     ~   ;     ~   ;~              ;  25;   0
1087;    185.64;m13        ;NGC 6205 588                       ;*  ;16 41 41.6497278960 +36 30 46.389942756;     ~   ;15.20    ;14.39    ;     ~   ;     ~   ;~              ;   6;   0
1088;    186.24;m13        ;NGC 6205 100                       ;*  ;16 41 27.3706294392 +36 28 52.046587308;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1089;    186.78;m13        ;[KGS2008] J164126.3+362715         ;RG*;16 41 26.3 +36 27 15                   ;     ~   ;17.20    ;16.58    ;     ~   ;15.75    ;~              ;   1;   0
1090;    187.33;m13        ;NGC 6205 538                       ;HS?;16 41 41.0816821920 +36 24 33.541942896;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1091;    188.22;m13        ;NGC 6205 99                        ;*  ;16 41 27.50 +36 26 21.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1092;    188.42;m13        ;NGC 6205 379                       ;*  ;16 41 38.1653758776 +36 24 37.042517772;     ~   ;15.23    ;14.42    ;     ~   ;     ~   ;~              ;   3;   0
1093;    188.61;m13        ;NGC 6205 963                       ;*  ;16 41 50.57 +36 25 06.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1094;    188.90;m13        ;Cl* NGC 6205 PA 15                 ;*  ;16 41 39.750 +36 30 48.28              ;     ~   ;17.19    ;16.56    ;     ~   ;     ~   ;~              ;   1;   0
1095;    189.39;m13        ;NGC 6205 188                       ;*  ;16 41 31.7672855784 +36 25 13.462348548;     ~   ;     ~   ;13.39    ;     ~   ;     ~   ;~              ;   5;   0
1096;    189.48;m13        ;NGC 6205 871                       ;*  ;16 41 47.8903199928 +36 30 34.557000336;     ~   ;14.84    ;13.89    ;     ~   ;     ~   ;~              ;   5;   0
1097;    189.49;m13        ;NGC 6205 172                       ;RG*;16 41 31.2715475520 +36 25 18.371836236;     ~   ;14.56    ;13.56    ;     ~   ;     ~   ;~              ;  22;   0
1098;    189.72;m13        ;2MASS J16412801+3626058            ;RG*;16 41 28.0123270440 +36 26 05.983224036;     ~   ;15.97    ;15.25    ;     ~   ;14.34    ;~              ;   2;   0
1099;    189.76;m13        ;Gaia DR2 1328056874945560832       ;HS?;16 41 49.9025042784 +36 24 59.346210960;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1100;    190.50;m13        ;NGC 6205 92                        ;*  ;16 41 26.53 +36 28 36.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1101;    190.51;m13        ;NGC 6205 186                       ;HS?;16 41 31.4642200824 +36 30 06.526186452;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1102;    190.60;m13        ;NGC 6205 130                       ;*  ;16 41 29.13 +36 29 37.3                ;     ~   ;15.54    ;14.63    ;     ~   ;     ~   ;~              ;   7;   0
1103;    190.67;m13        ;Gaia DR3 1328056840576208512       ;EB*;16 41 52.7335040118 +36 25 25.044702042;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1104;    190.70;m13        ;NGC 6205 942                       ;*  ;16 41 49.87 +36 24 58.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1105;    190.84;m13        ;2MASS J16413387+3630271            ;RG*;16 41 33.8671213224 +36 30 27.017943336;     ~   ;15.62    ;14.78    ;     ~   ;     ~   ;~              ;   4;   0
1106;    191.50;m13        ;Cl* NGC 6205 PA 22                 ;*  ;16 41 56.596 +36 28 44.79              ;     ~   ;17.31    ;16.63    ;     ~   ;     ~   ;~              ;   1;   0
1107;    191.60;m13        ;Gaia DR2 1328057733933111424       ;HS?;16 41 25.8141826800 +36 27 23.854957524;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1108;    191.91;m13        ;NGC 6205 771                       ;HS?;16 41 45.3960268344 +36 30 47.223006696;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1109;    191.92;m13        ;NGC 6205 862                       ;*  ;16 41 47.8316557680 +36 24 44.007684408;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1110;    192.17;m13        ;Cl* NGC 6205 ARP 2032              ;*  ;16 41 33.2592919392 +36 30 24.233563872;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   0;   0
1111;    192.54;m13        ;NGC 6205 94                        ;*  ;16 41 26.7470119848 +36 28 50.207755944;     ~   ;15.01    ;14.96    ;     ~   ;     ~   ;~              ;   6;   0
1112;    193.13;m13        ;2MASS J16413503+3624449            ;RG*;16 41 35.0250077736 +36 24 44.854674228;     ~   ;16.43    ;15.78    ;     ~   ;14.92    ;~              ;   2;   0
1113;    193.44;m13        ;NGC 6205 998                       ;*  ;16 41 52.4931285312 +36 25 18.454167624;     ~   ;15.74    ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
1114;    193.91;m13        ;Gaia DR3 1328057733938742528       ;RR*;16 41 25.7271284174 +36 28 08.664377032;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1115;    194.54;m13        ;NGC 6205 745                       ;RG*;16 41 44.8522130952 +36 30 51.375592656;     ~   ;13.821   ;12.525   ;12.242   ;     ~   ;~              ;  37;   0
1116;    194.66;m13        ;NGC 6205 394                       ;*  ;16 41 38.3551857720 +36 24 30.156193332;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1117;    194.72;m13        ;2MASS J16414374+3624277            ;RG*;16 41 43.7348847888 +36 24 27.687895560;     ~   ;17.06    ;16.42    ;     ~   ;15.59    ;~              ;   2;   0
1118;    194.87;m13        ;Gaia DR2 1328057424694539776       ;RR*;16 41 28.7957055480 +36 25 42.523853520;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1119;    195.41;m13        ;NGC 6205 87                        ;*  ;16 41 26.12 +36 28 37.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1120;    195.62;m13        ;NGC 6205 132                       ;*  ;16 41 29.4108266712 +36 25 32.246524416;     ~   ;15.30    ;15.26    ;     ~   ;     ~   ;~              ;   2;   0
1121;    195.70;m13        ;Cl* NGC 6205 PA 29                 ;*  ;16 41 32.2707593544 +36 25 00.959926800;     ~   ;17.41    ;16.74    ;     ~   ;     ~   ;~              ;   1;   0
1122;    195.83;m13        ;NGC 6205 990                       ;*  ;16 41 51.7547695848 +36 30 13.889160144;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1123;    195.84;m13        ;2MASS J16414277+3630562            ;RG*;16 41 42.7632541536 +36 30 56.111272488;     ~   ;15.29    ;14.65    ;     ~   ;     ~   ;~              ;   3;   0
1124;    196.00;m13        ;2MASS J16415322+3625234            ;RG*;16 41 53.2134208512 +36 25 23.306780820;     ~   ;15.40    ;14.59    ;     ~   ;     ~   ;~              ;   9;   0
1125;    196.46;m13        ;NGC 6205 167                       ;*  ;16 41 31.1068011576 +36 25 10.892020224;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1126;    196.53;m13        ;NGC 6205 919                       ;*  ;16 41 49.2574815672 +36 24 47.077855884;     ~   ;14.14    ;13.03    ;     ~   ;     ~   ;~              ;  17;   0
1127;    196.90;m13        ;NGC 6205 84                        ;HS?;16 41 25.4574080160 +36 28 06.975860808;     ~   ;16.08    ;16.24    ;     ~   ;     ~   ;~              ;   3;   0
1128;    196.97;m13        ;NGC 6205 1055                      ;*  ;16 41 57.4050976128 +36 28 31.805185188;     ~   ;15.26    ;15.08    ;     ~   ;     ~   ;~              ;   6;   0
1129;    197.11;m13        ;Gaia DR2 1328056634424210560       ;RR?;16 41 33.8968146229 +36 24 47.152435991;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1130;    197.16;m13        ;NGC 6205 165                       ;RG*;16 41 30.7140877080 +36 30 07.466750532;     ~   ;14.87    ;13.94    ;     ~   ;     ~   ;~              ;  21;   0
1131;    197.23;m13        ;NGC 6205 974                       ;*  ;16 41 51.1078388808 +36 25 00.037198812;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1132;    198.25;m13        ;Cl* NGC 6205 PA 14                 ;*  ;16 41 25.59 +36 28 23.7                ;     ~   ;17.24    ;16.55    ;     ~   ;     ~   ;~              ;   1;   0
1133;    198.25;m13        ;NGC 6205 572                       ;*  ;16 41 41.75 +36 24 22.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1134;    198.44;m13        ;NGC 6205 83                        ;*  ;16 41 25.4003260848 +36 27 08.800026300;     ~   ;15.27    ;15.25    ;     ~   ;     ~   ;~              ;   2;   0
1135;    198.60;m13        ;Gaia DR3 1328058421134919552       ;EB*;16 41 58.0745436023 +36 27 51.048175059;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1136;    198.92;m13        ;NGC 6205 338                       ;HS?;16 41 37.1229108648 +36 24 29.426530860;     ~   ;16.00    ;16.03    ;     ~   ;     ~   ;~              ;   3;   0
1137;    199.75;m13        ;Gaia DR2 1328058421124399360       ;HS?;16 41 58.1739456216 +36 27 31.672916208;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1138;    200.26;m13        ;Gaia DR2 1328105081658248192       ;HS?;16 41 27.7911573840 +36 29 31.322435532;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1139;    200.46;m13        ;2MASS J16413082+3630130            ;AB*;16 41 30.8206687560 +36 30 12.984390252;     ~   ;14.52    ;13.62    ;     ~   ;     ~   ;~              ;  40;   0
1140;    200.65;m13        ;NGC 6205 415                       ;HS?;16 41 38.8146852000 +36 24 23.002393032;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1141;    200.71;m13        ;[DAL2019] M13 C9                   ;V*?;16 41 42.840 +36 31 00.93              ;     ~   ;     ~   ;15.40    ;     ~   ;15.36    ;~              ;   1;   0
1142;    200.83;m13        ;NGC 6205 326                       ;*  ;16 41 36.40 +36 30 51.4                ;     ~   ;14.02    ;13.79    ;     ~   ;     ~   ;~              ;  11;   0
1143;    200.89;m13        ;NGC 6205 653                       ;*  ;16 41 42.86 +36 31 01.1                ;     ~   ;15.45    ;15.36    ;     ~   ;     ~   ;~              ;   4;   0
1144;    201.02;m13        ;NGC 6205 236                       ;*  ;16 41 33.85 +36 30 38.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1145;    201.20;m13        ;NGC 6205 263                       ;*  ;16 41 34.71 +36 30 43.8                ;     ~   ;15.00    ;15.08    ;     ~   ;     ~   ;~              ;   2;   0
1146;    201.22;m13        ;NGC 6205 89                        ;*  ;16 41 26.4836621616 +36 26 16.644875064;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1147;    201.70;m13        ;Cl* NGC 6205 PA 28                 ;*  ;16 41 50.82 +36 30 29.3                ;     ~   ;17.41    ;16.74    ;     ~   ;     ~   ;~              ;   1;   0
1148;    202.20;m13        ;NGC 6205 1049                      ;*  ;16 41 57.03 +36 26 20.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1149;    203.24;m13        ;2MASS J16413687+3624259            ;RG*;16 41 36.8625480312 +36 24 25.842585132;     ~   ;15.59    ;14.78    ;     ~   ;     ~   ;~              ;   4;   0
1150;    204.20;m13        ;2MASS J16412735+3629304            ;RG*;16 41 27.3538189512 +36 29 30.440185692;     ~   ;15.84    ;15.09    ;     ~   ;     ~   ;~              ;   5;   0
1151;    204.47;m13        ;[WOR95] M13 17                     ;UV ;16 41 38.761 +36 31 02.26              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1152;    204.52;m13        ;NGC 6205 1061                      ;*  ;16 41 58.5037903584 +36 27 20.613751092;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1153;    204.81;m13        ;NGC 6205 932                       ;*  ;16 41 49.6040839992 +36 24 39.929969700;     ~   ;14.75    ;13.98    ;     ~   ;     ~   ;~              ;   4;   0
1154;    204.96;m13        ;NGC 6205 1062                      ;RG*;16 41 58.6173751632 +36 27 46.400687964;     ~   ;15.37    ;14.52    ;     ~   ;     ~   ;~              ;  27;   0
1155;    205.45;m13        ;[SWL2011] X33                      ;X  ;16 41 45.948 +36 24 22.01              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1156;    205.69;m13        ;Gaia DR3 1328057355981370112       ;*  ;16 41 31.3718103058 +36 24 56.522415038;18.202   ;18.424   ;17.928   ;17.450   ;17.253   ;~              ;   1;   0
1157;    205.78;m13        ;Gaia DR2 1328056703137286656       ;HS?;16 41 49.1603246928 +36 24 36.098503236;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
1158;    206.02;m13        ;[SWL2011] X34                      ;X  ;16 41 48.727 +36 30 48.17              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1159;    206.22;m13        ;NGC 6205 1029                      ;*  ;16 41 54.7051650648 +36 25 27.895681956;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1160;    207.17;m13        ;NGC 6205 90                        ;*  ;16 41 26.59 +36 26 00.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1161;    207.27;m13        ;Gaia DR3 1328057733933165056       ;EB*;16 41 24.6281853818 +36 27 11.298764914;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1162;    207.66;m13        ;[SWL2011] X35                      ;X  ;16 41 32.606 +36 30 37.58              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
1163;    208.58;m13        ;2MASS J16415842+3628312            ;AB*;16 41 58.4135522256 +36 28 31.106669268;     ~   ;14.90    ;14.05    ;     ~   ;     ~   ;~              ;  21;   0
