C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
52  ;      9.94;m13        ;[KWR2014] M13 56100                ;*  ;16 41 41.0058 +36 27 34.312            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
53  ;     10.24;m13        ;[KWR2014] M13 55762                ;*  ;16 41 41.1363 +36 27 32.455            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
54  ;     10.26;m13        ;[KWR2014] M13 98410                ;*  ;16 41 40.8098 +36 27 43.285            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
55  ;     10.39;m13        ;Cl* NGC 6205 CGY 6274              ;*  ;16 41 42.4945 +36 27 40.240            ;     ~   ;     ~   ;19.24    ;     ~   ;     ~   ;~              ;   1;   0
56  ;     10.69;m13        ;[KWR2014] M13 56101                ;*  ;16 41 40.9957 +36 27 33.328            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
57  ;     10.92;m13        ;[KWR2014] M13 54624                ;*  ;16 41 41.3684 +36 27 30.311            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
58  ;     10.98;m13        ;[KWR2014] M13 98359                ;*  ;16 41 40.7872 +36 27 36.730            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
59  ;     11.08;m13        ;[KWR2014] M13 54995                ;*  ;16 41 41.2745 +36 27 30.550            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
60  ;     11.19;m13        ;NGC 6205 570                       ;*  ;16 41 41.4790 +36 27 51.780            ;     ~   ;     ~   ;12.77    ;     ~   ;     ~   ;~              ;   5;   0
61  ;     11.30;m13        ;[KWR2014] M13 52895                ;*  ;16 41 41.9617 +36 27 30.163            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
62  ;     11.32;m13        ;[KWR2014] M13 53587                ;*  ;16 41 41.6875 +36 27 29.449            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
63  ;     11.33;m13        ;[KWR2014] M13 98358                ;*  ;16 41 40.7465 +36 27 37.050            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
64  ;     11.57;m13        ;[KWR2014] M13 55001                ;*  ;16 41 41.2763 +36 27 30.015            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
65  ;     11.85;m13        ;[KWR2014] M13 98783                ;*  ;16 41 40.6555 +36 27 41.805            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
66  ;     12.21;m13        ;[KWR2014] M13 55742                ;*  ;16 41 41.0709 +36 27 30.606            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
67  ;     12.30;m13        ;Cl* NGC 6205 CGY 4498              ;*  ;16 41 40.7661 +36 27 47.200            ;     ~   ;     ~   ;14.88    ;     ~   ;     ~   ;~              ;   2;   0
68  ;     12.30;m13        ;[KWR2014] M13 56427                ;*  ;16 41 40.9108 +36 27 32.073            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
69  ;     12.40;m13        ;IRAS F16399+3633                   ;IR ;16 41 41.9 +36 27 29                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   1
70  ;     12.56;m13        ;[KWR2014] M13 57113                ;*  ;16 41 40.7250 +36 27 34.626            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
71  ;     12.82;m13        ;NGC 6205 567                       ;*  ;16 41 41.3895 +36 27 28.270            ;     ~   ;     ~   ;13.98    ;     ~   ;     ~   ;~              ;   3;   0
72  ;     12.84;m13        ;[KWR2014] M13 56072                ;*  ;16 41 41.0252 +36 27 30.224            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
73  ;     12.92;m13        ;[KWR2014] M13 53863                ;*  ;16 41 41.5985 +36 27 27.841            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
74  ;     13.07;m13        ;[KWR2014] M13 56419                ;*  ;16 41 40.8894 +36 27 31.249            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
75  ;     13.40;m13        ;[KWR2014] M13 54978                ;*  ;16 41 41.2692 +36 27 28.090            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
76  ;     13.55;m13        ;[KWR2014] M13 54607                ;*  ;16 41 41.4087 +36 27 27.471            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
